team_id,team_name,club,event_age,gender,division,bracket,assignment_source,coverage,rating,flag
640564,ULETE FC 17G Josh,Ulete FC,U9,f,7v7 Silver,Bracket A,registrar,RED,1498.08,ranking-uncertain
651878,ULETE FC 18G Jasmine,Ulete FC,U8,f,4v4 Bronze,Bracket A,registrar,RED,1463.15,ranking-uncertain
588213,Forms Academy 19,Forms Academy,U7,m,Gold 4v4,Bracket B,registrar,RED,1541.01,ranking-uncertain
651875,ULETE FC 18B Jasmine,Ulete FC,U8,m,4v4 Silver,Bracket A,registrar,RED,1455.25,ranking-uncertain
390230,Lions Futbol Club 2011B,Lions Futbol Club,U15,m,DS Silver Elite,Bracket A,registrar,RED,1523.41,ranking-uncertain
612399,Solar West 15B Garcia.S PreECNL,Solar SC,U12,m,9v9 Silver Crossover,Bracket A,registrar,YELLOW,1468.82,move-down → 11v11 Silver
544813,Athens Futbol Club - 15G Gonzalez,Athens Futbol Club,U11,f,9v9 Bronze II,Bracket B,registrar,RED,,ranking-uncertain
531954,Thunder United SC 15B Red,Thunder United Soccer Club,U11,m,9v9 Bronze,Bracket A,registrar,RED,,ranking-uncertain
537575,GLASA LADYBUGS 17G,GLASA,U9,f,7v7 Bronze II Crossover,Bracket A,registrar,RED,,ranking-uncertain
522356,Dallas Texans 2018 Boys South,Dallas Texans,U9,m,18s,Bracket A,registrar,YELLOW,1534.46,move-up → 7v7 Dallas Showcase Super Group 17s
404320,Sting FTW G17 Rey,Sting Soccer Club,U9,f,7v7 Dallas Showcase Super Group 17s,Bracket A,registrar,RED,1532.39,ranking-uncertain
441884,Soccerplex United 17B Red,Soccerplex United,U9,m,7v7 Silver,Bracket B,registrar,RED,1452.34,ranking-uncertain
632643,PSG DFW 09B ORTEGA,Paris Saint-Germain Academy DFW,U17,m,Bracket B,Bracket A,registrar,RED,,ranking-uncertain
505988,Fever United 12G Schott,Fever United,U14,f,11v11 Bronze Crossover,Bracket B,registrar,GREEN,,ranking-uncertain
85290,Juventus Premier FC 12G,Juventus Premier FC,U14,f,11v11 Silver,Bracket A,registrar,RED,,ranking-uncertain
96187,FC Dallas Youth 15G North White,FC Dallas Youth,U11,f,9v9 Silver,Bracket A,registrar,RED,,ranking-uncertain
586785,BVB 13G GA,BVB International Academy Texas,U13,f,Dallas Showcase Super Group 13s,Bracket A,registrar,RED,1501.77,ranking-uncertain
81594,Coppell FC 11G Morales,Coppell Youth SA,U15,f,Silver,Bracket B,registrar,RED,,ranking-uncertain
587363,Dallas Texans 2019 Boys Black Dallas,Dallas Texans,U7,m,Gold 4v4,Bracket A,registrar,RED,1541.01,ranking-uncertain
149444,FC DIVAS XIII,FCD,U13,f,11v11 Silver,Bracket B,registrar,RED,,ranking-uncertain
106525,Plano Planets,,U16,m,DS Bronze Crossover,Bracket B,registrar,RED,,ranking-uncertain
65128,Fever United 10B Jacobo,Fever United,U16,m,DS Bronze Crossover,Bracket B,registrar,RED,,ranking-uncertain
524735,Nido Aguila Mt. Pleasant,Club America (TX),U16,m,DS Silver Crossover,Bracket A,registrar,RED,,ranking-uncertain
672639,ISW Academy 20 Muñoz,ISW Academy,U6,m,Bronze,Bracket B,registrar,RED,1470.02,ranking-uncertain
642947,FC Dallas Youth 18G Webb,FC Dallas Youth,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket B,registrar,RED,1596.84,ranking-uncertain
625830,Dallas Surf 14G White,Dallas Surf,U12,f,11v11 Silver,Bracket A,registrar,RED,,ranking-uncertain
96125,FC Dallas Youth 15G Blue,FC Dallas Youth,U11,f,9v9 Silver,Bracket B,registrar,RED,,ranking-uncertain
452033,DSA Dallas Blues 19B,,U8,m,4v4 Bronze,Bracket A,registrar,RED,1503.36,ranking-uncertain
452034,Dallas Blues 19G,,U7,f,4v4 2019s,Bracket A,registrar,RED,,ranking-uncertain
505380,BVB 18G Gold (DeWet),BVB International Academy Texas,U9,f,7v7 Dallas Showcase Super Group 17s,Bracket B,registrar,YELLOW,,ranking-uncertain
541502,Arl Rodriguez/South Dallas Leon 15B,Arlington SA,U11,m,9v9 Bronze II,Bracket B,registrar,RED,,ranking-uncertain
640234,North Texas Elite 2020B Pina,North Texas Elite SC,U6,m,Gold,Bracket A,registrar,RED,1514.33,ranking-uncertain
649980,South Dallas Leon 2014B,Independent Teams - NTX,U12,m,9v9 Bronze,Bracket C,registrar,RED,,ranking-uncertain
527493,Texas Spurs FC 10B White,Texas Spurs,U16,m,DS Bronze Crossover,Bracket B,registrar,RED,,ranking-uncertain
82918,FC Dallas Youth 11G North White,FC Dallas Youth,U15,f,Silver Elite Crossover,Bracket A,registrar,RED,,ranking-uncertain
364378,BVB 15B Black (DeSousa),BVB International Academy Texas,U11,m,9v9 Bronze,Bracket C,registrar,RED,,ranking-uncertain
547107,ULETE FC 15B Simon,Ulete FC,U11,m,9v9 Bronze,Bracket B,registrar,RED,,ranking-uncertain
669148,DSA Dallas Blues 19/18B Dev.,,U8,m,4v4 Bronze,Bracket B,registrar,MISSING,,
631197,Metro West Wolves 16B Rogers,Metro West SC,U10,m,9v9 Bronze II Crossover,Bracket B,registrar,RED,,ranking-uncertain
507940,BVB 15B PreECNL White (DeSousa),BVB International Academy Texas,U11,m,9v9 Silver,Bracket B,registrar,RED,,ranking-uncertain
365055,DKSC 16/17B DE LA CRUZ BLACK,DKSC,U10,m,9v9 Bronze,Bracket B,registrar,RED,1423.20,ranking-uncertain
233278,DKSC 16B Pre-ECNL DE LA CRUZ,DKSC,U10,m,9v9 Gold,Bracket A,registrar,RED,,ranking-uncertain
298249,Fortress FC 15G,Fortress FC,U11,f,9v9 Bronze II,Bracket A,registrar,RED,,ranking-uncertain
703397,BVB 17/18G White East (Solares),BVB International Academy Texas,U9,f,7v7 Bronze II Crossover,Bracket B,registrar,GREEN,,ranking-uncertain
496853,Fever United 12B Morrow,Fever United,U14,m,11v11 Bronze II,Bracket B,registrar,RED,,ranking-uncertain
637598,Texoma FC 2010 Girls Red,Texoma Football Club,U16,f,HS 2,Bracket A,registrar,RED,,ranking-uncertain
666725,Villarreal NTX 16B,Villarreal NTX,U10,m,9v9 16s Silver Elite,Bracket A,registrar,RED,,ranking-uncertain
361688,Solar 11G Givens ECNL RL NTX,Solar SC,U15,f,Silver Elite Crossover,Bracket A,registrar,RED,1564.36,ranking-uncertain
536477,Revolution Premier SC 15G,Revolution Premier SC,U11,f,9v9 Bronze,Bracket A,registrar,RED,,ranking-uncertain
454411,Revolution Premier SC 16G Blue,Revolution Premier SC,U10,f,9v9 Bronze II,Bracket B,registrar,RED,,ranking-uncertain
688610,Fever United 11B Yellow,Fever United,U15,m,DS Silver Elite,Bracket A,registrar,MISSING,,
532048,Atletico Dallas Youth Central 16B White,Atletico Dallas Youth,U10,m,9v9 Bronze II Crossover,Bracket C,registrar,RED,1459.20,ranking-uncertain
520052,AlphaForms'16G,Forms Academy,U10,f,9v9 DS Gold,Bracket A,registrar,RED,,ranking-uncertain
