team_id,team_name,club,event_age,gender,division,bracket,rating,flag,target_division,reason
485179,Dallas Legacy 17B Arroyo,Dallas Legacy,U9,m,7v7 Recreational,Bracket A,1390.04,ranking-uncertain,,Only 0 games in last 365d
634194,Solar East 17B Gonzales,Solar SC,U9,m,7v7 Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
534291,Juventus Premier FC 14B Cantu,Juventus Premier Futbol Club,U12,m,9v9 Silver Crossover,Bracket A,,ranking-uncertain,,No ranking available
645462,-Juventus Premier FC 2019B,Juventus Premier Futbol Club,U7,m,Bronze 4v4,Bracket B,1487.54,ranking-uncertain,,Only 3 games in last 365d
641387,Arsenal CF 09B,Independent Teams - NTX,U17,m,DS Silver,Bracket A,1498.62,ranking-uncertain,,Only 2 games in last 365d
633580,NTX Celtic 19B Monk West,NTX Celtic FC,U7,m,Silver 4v4,Bracket A,1484.40,ranking-uncertain,,Only 3 games in last 365d
356455,Dallas Surf 17G East Blue,Dallas Surf,U10,f,9v9 17s,Bracket A,1468.74,ranking-uncertain,,Only 3 games in last 365d
620580,Sting WTX G15 Fernandez,Sting Soccer Club,U11,f,9v9 Bronze,Bracket B,,ranking-uncertain,,No ranking available
513849,ETX United 16G - Swiney,East Texas United SC,U10,f,9v9 Silver,Bracket B,,ranking-uncertain,,No ranking available
693399,Falls Town FC 17G,Falls Town FC,U9,f,7v7 Dallas Showcase Super Group 17s,Bracket B,1498.00,ranking-uncertain,,Only 0 games in last 365d
524255,NTX Celtic 14B Shaffer West,NTX Celtic FC,U12,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
576833,ULETE FC 17G RAB,Ulete FC,U9,f,7v7 Bronze II Crossover,Bracket A,1476.04,ranking-uncertain,,Only 0 games in last 365d
260098,Sting FTW G16 Oliver,Sting Soccer Club,U10,f,9v9 Silver,Bracket A,,ranking-uncertain,,No ranking available
553844,RPSC 16B Mercado_Blue,Revolution Premier SC,U10,m,9v9 16s Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
408758,Atletico Dallas Youth 16Gs Central Pre ECNL Meighan,Atletico Dallas Youth,U10,f,9v9 Silver,Bracket A,,ranking-uncertain,,No ranking available
478937,Atletico Dallas Youth Pre-ECNL G16 Meighen,Atletico Dallas Youth,U10,f,9v9 DS Gold,Bracket A,1471.12,ranking-uncertain,,Only 0 games in last 365d
251738,Sting WTX B14 Fernandez,Sting Soccer Club,U13,m,11v11 Bronze 14s,Bracket A,1468.50,ranking-uncertain,,Only 0 games in last 365d
683403,Little Gunners - Segura,Heart of Texas Soccer,U6,m,Bronze,Bracket A,1487.19,ranking-uncertain,,Only 0 games in last 365d
280420,GLASA Raichu 16B,GLASA,U10,m,,,,ranking-uncertain,,No ranking available
640464,ULETE FC 13G Chris,Ulete FC,U13,f,11v11 Bronze,Bracket A,,ranking-uncertain,,No ranking available
695547,ULETE FC 18B Degrenier,Ulete FC,U8,m,4v4 Bronze,Bracket A,,ranking-uncertain,,No ranking available
509792,Solar South 18G Guzman,Solar SC,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket A,1595.84,ranking-uncertain,,Only 3 games in last 365d
547188,ULETE FC 17B Simon,Ulete FC,U9,m,7v7 Bronze Crossover,Bracket A,1411.10,ranking-uncertain,,Only 0 games in last 365d
529243,ULETE FC 12G Andre,Ulete FC,U14,f,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
640499,ULETE FC 14G Carlo,Ulete FC,U12,f,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
651942,ULETE FC 19B Jordan,Ulete FC,U7,m,Bronze 4v4,Bracket B,1421.02,ranking-uncertain,,Only 0 games in last 365d
698802,ULETE FC 18/19G Serame,Ulete FC,U8,f,4v4 Bronze,Bracket A,,ranking-uncertain,,No ranking available
651871,ULETE FC 20/19G Jordan,Ulete FC,U7,f,4v4 2019s,Bracket A,1431.01,ranking-uncertain,,Only 0 games in last 365d
695412,ULETE FC 19B Degrenier Blue,Ulete FC,U7,m,Silver 4v4,Bracket B,1505.82,ranking-uncertain,,Only 0 games in last 365d
697599,ULETE FC 18B Hanibal,Ulete FC,U8,m,4v4 Bronze,Bracket B,,ranking-uncertain,,No ranking available
572567,ULETE FC 15G Andre,Ulete FC,U11,f,9v9 DS Gold,Bracket B,,ranking-uncertain,,No ranking available
442024,BVB 16B Pre ECNL Brown,BVB International Academy Texas,U10,m,9v9 16s Silver,Bracket A,,ranking-uncertain,,No ranking available
123743,Lioness Select 13G,Independent Teams - NTX,U13,f,11v11 Bronze,Bracket B,,ranking-uncertain,,No ranking available
330123,Sting WTX B16 Albarado,Sting Soccer Club,U10,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
704964,Atlético United FC,Atletico United FC,U11,m,Silver II,Bracket B,,ranking-uncertain,,No ranking available
330347,TAG Pre ECNL 15B Gold East,TAG Soccer,U11,m,9v9 Silver,Bracket A,,ranking-uncertain,,No ranking available
334798,Atletico Dallas Youth 15G Williams,Atletico Dallas Youth,U11,f,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
636127,Dutch Lions 14B Sparta,Dutch FC,U12,m,9v9 Bronze II,Bracket A,,ranking-uncertain,,No ranking available
634886,NTX Celtic 16B Monk West,NTX Celtic FC,U10,m,9v9 Bronze II Crossover,Bracket B,,ranking-uncertain,,No ranking available
480478,Atletico Dallas Youth 14B Welge,Atletico Dallas Youth,U12,m,9v9 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
579421,Dallas Surf 18/19B East,Dallas Surf,U8,m,4v4 Bronze,Bracket B,1424.78,ranking-uncertain,,Only 0 games in last 365d
333942,Avanti Pre-Academy 17B Red Cavazos,Avanti Soccer Academy,U10,m,7v7 Gold,Bracket A,,ranking-uncertain,,No ranking available
287678,Avanti PreAcademy 16B Red Cavazos,Avanti Soccer Academy,U10,m,9v9 16s Silver,Bracket A,,ranking-uncertain,,No ranking available
405293,StrikerZ DFW 2012B Purple,StrikerZ DFW,U14,m,11v11 Bronze,Bracket C,,ranking-uncertain,,No ranking available
516663,StrikerZ DFW 2012G Purple,StrikerZ DFW,U14,f,11v11 Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
404131,StrikerZ DFW 2013B Purple,StrikerZ DFW,U13,m,11v11 Bronze Crossover,Bracket B,,ranking-uncertain,,No ranking available
600249,DKSC 19B GARCIA,DKSC,U7,m,Silver 4v4,Bracket A,1495.47,ranking-uncertain,,Only 0 games in last 365d
634543,Atletico Dallas Youth Blue ECNL-RL NTX B09,Atletico Dallas Youth,U17,m,Bracket B,Bracket A,1453.00,ranking-uncertain,,Only 0 games in last 365d
82976,FC Dallas Youth Red ECNL RL NTX G13,FC Dallas Youth,U13,f,Dallas Showcase Super Group 13s,Bracket A,,ranking-uncertain,,No ranking available
405579,Juventus Premier FC 16B Sikora,Juventus Premier Futbol Club,U10,m,9v9 16s Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
516598,RPSC 13B Mercado,Revolution Premier SC,U13,m,11v11 Bronze Crossover,Bracket B,,ranking-uncertain,,No ranking available
521886,RPSC 17B Mercado,Revolution Premier SC,U9,m,7v7 Bronze II,Bracket A,1443.38,ranking-uncertain,,Only 3 games in last 365d
549269,RPSC 18B Mercado,Revolution Premier SC,U8,m,7v7 Bronze,Bracket A,1441.39,move-down,4v4 Silver,Rating 1441 ≤ median of 4v4 Silver (1455)
638843,RPSC 19B Mercado_White,Revolution Premier SC,U7,m,Bronze 4v4,Bracket A,1412.06,ranking-uncertain,,Only 0 games in last 365d
693983,Sting WTX G14 Jimenez,Sting Soccer Club,U12,f,11v11 DS Gold,Bracket A,,ranking-uncertain,,No ranking available
639228,Revolution Premier SC 18G Black,Revolution Premier SC,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket A,1581.36,ranking-uncertain,,Only 0 games in last 365d
580876,NTX United FC 2018 Tredway,NTX United FC,U8,m,7v7 Bronze,Bracket A,1473.79,ranking-uncertain,,Only 0 games in last 365d
661366,South 18G Gold,HTX,U8,f,Dallas Showcase Super Group 7v7 18s,Bracket A,1487.82,ranking-uncertain,,Only 0 games in last 365d
520251,Atletico Dallas Youth 09G Clark,Atletico Dallas Youth,U17,f,HS 1,Bracket B,,ranking-uncertain,,No ranking available
621115,Sting Pre ECNL G16 Robles,Sting Soccer Club,U10,f,9v9 DS Gold,Bracket A,1453.54,move-down,9v9 16s Silver Elite,Rating 1454 ≤ median of 9v9 16s Silver Elite (1496)
488693,BVB 14B PreECNL Yellow (Suffredin),BVB International Academy Texas,U13,m,11v11 Silver 14s,Bracket A,1528.45,ranking-uncertain,,Only 0 games in last 365d
486124,Dallas Surf 12B South,Dallas Surf,U14,m,11v11 Bronze,Bracket A,,ranking-uncertain,,No ranking available
560234,Dallas Texans 2020 Boys Dallas,Dallas Texans,U6,m,Gold,Bracket A,1515.54,ranking-uncertain,,Only 0 games in last 365d
616668,Texas Premier SC 16B,Texas Premier SC,U10,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
697618,Texas Premier SC U12,Texas Premier SC,U12,m,9v9 Silver Crossover,Bracket A,1537.20,ranking-uncertain,,Only 0 games in last 365d
636891,Atletico Dallas Youth 14G Enciso,Atletico Dallas Youth,U12,f,9v9 Bronze II,Bracket A,,ranking-uncertain,,No ranking available
396897,Pflugerville Rayados 2015,Mortega Soccer Club Laredo Youth Soccer Academy,U11,m,DS 9v9 Silver Elite,Bracket B,1460.16,ranking-uncertain,,Only 0 games in last 365d
151633,Rayados MOrtega 2013 Blue,Laredo Youth Soccer Assn,U13,m,11v11 Gold,Bracket A,,ranking-uncertain,,No ranking available
516534,Rayados MOrtega 2013 White,Laredo Youth Soccer Assn,U13,m,11v11 Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
448624,Rayados Pflugerville 16,Mortega Soccer Club Laredo Youth Soccer Academy,U10,m,9v9 Gold,Bracket A,1506.16,ranking-uncertain,,Only 0 games in last 365d
448477,Rayados Pflugerville 17,Mortega Soccer Club Laredo Youth Soccer Academy,U10,m,9v9 17s,Bracket B,1563.04,ranking-uncertain,,Only 0 games in last 365d
516535,Rayados MOrtega 11/12,Laredo Youth Soccer Assn,U15,m,DS Bronze,Bracket B,,ranking-uncertain,,No ranking available
678221,Rayados Pflugerville 2016 White TYPL,Texas Youth Premier League,U10,m,,,,ranking-uncertain,,No ranking available
570607,Rayados Pflugerville 2018,Mortega Soccer Club Laredo Youth Soccer Academy,U8,m,7v7 18s Silver,Bracket A,1509.58,ranking-uncertain,,Only 0 games in last 365d
369682,17G Nike Volt,RISE Soccer Club,U9,f,7v7 Silver,Bracket A,1524.84,move-up,18s,Rating 1525 ≥ median of 18s (1523)
364344,Dallas Surf 17G East Black,Dallas Surf,U10,f,9v9 DS Gold,Bracket B,1585.58,ranking-uncertain,,Only 0 games in last 365d
458924,BVB 15G Yellow (Ibrahimpasic),BVB International Academy Texas,U11,f,9v9 Bronze II,Bracket A,,ranking-uncertain,,No ranking available
262107,Premier FA 2008B Green,Premier Futbol Academy of San Antonio,U18,m,DS 08-09,Bracket A,1549.89,ranking-uncertain,,Only 0 games in last 365d
483054,FC Dallas High Plains 2015 Girls Blue,FC Dallas High Plains,U11,f,9v9 Bronze,Bracket A,1531.98,ranking-uncertain,,Only 0 games in last 365d
483053,FC Dallas High Plains 2015 Girls Red,FC Dallas High Plains,U11,f,9v9 DS Gold,Bracket A,,ranking-uncertain,,No ranking available
380587,Dutch Lions 14B PSV,Dutch FC,U12,m,9v9 Bronze,Bracket B,1478.13,ranking-uncertain,,Only 0 games in last 365d
100365,Texas Spurs FC 11B,Texas Spurs,U15,m,DS Silver,Bracket A,,ranking-uncertain,,No ranking available
100366,Texas Spurs FC 10B Blue,Texas Spurs,U16,m,DS Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
146891,DFW United SC 16B - BLUE,DFW United SC,U10,m,9v9 16s Silver Elite,Bracket B,1495.78,ranking-uncertain,,Only 0 games in last 365d
640216,Rayados MOrtega 2014 White,Laredo Youth Soccer Assn,U12,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
204390,Dallas Surf 13G White,Dallas Surf,U13,f,11v11 Bronze,Bracket A,,ranking-uncertain,,No ranking available
83029,FC Dallas Youth 13G North White,FC Dallas Youth,U13,f,11v11 Silver,Bracket B,,ranking-uncertain,,No ranking available
655210,DFW United SC 16B - WHITE,DFW United SC,U10,m,,,,ranking-uncertain,,No ranking available
150463,Statik '10 Boys,Statik Futbol Club,U16,m,DS Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
450578,NTX Celtic 15B Strange South,NTX Celtic FC,U11,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
450377,Revolution Premier SC 18G Blue,Revolution Premier SC,U8,f,7v7 Silver,Bracket A,1451.44,ranking-uncertain,,Only 0 games in last 365d
658982,Atletico Dallas Youth FTW 15B Blue,Atletico Dallas Youth,U11,m,Silver II,Bracket C,,ranking-uncertain,,No ranking available
269607,ATLETICO DALLAS YOUTH NPL NTX 10G HERNANDEZ-WTX,Atletico Dallas Youth,U16,f,HS 2,Bracket A,,ranking-uncertain,,No ranking available
