team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
269189,Amarillo Rush 14G,Amarillo Rush SC,U12,f,11v11 Bronze,Bracket A,RED,0,0,,,yes
526703,Sting B18 Lucero,Sting Soccer Club,U9,m,18s,Bracket A,YELLOW,6,6,2026-04-12,1503.92,yes
363894,NOKC 2017 Boys White,North OKC SC,U9,m,7v7 Silver,Bracket B,MISSING,0,0,,,no
646179,Sting B17 Ortiz,Sting Soccer Club,U10,m,9v9 17s,Bracket B,RED,3,3,2026-04-12,1527.85,yes
166090,15G Moon,Evolution,U11,f,9v9 Silver,Bracket B,RED,0,0,,,yes
501618,FC LEGENDS UTD 16B Black,FC LEGENDS UTD,U10,m,9v9 Bronze II Crossover,Bracket B,GREEN,27,18,2026-05-15,1587.88,yes
392513,FC LEGENDS UTD 16B Red,FC LEGENDS UTD,U10,m,9v9 Bronze,Bracket B,RED,0,0,,,yes
329562,FC LEGENDS UTD 17B Red,FC LEGENDS UTD,U9,m,7v7 Silver,Bracket A,RED,0,0,,1503.97,yes
661305,Solar West 19G Richie,Solar SC,U7,f,4v4 2019s,Bracket A,RED,0,0,,,yes
516424,Extreme FC 12G Reyes,Extreme FC,U14,f,11v11 Bronze Crossover,Bracket A,RED,0,0,,,yes
508168,NTX Celtic FC Pre-ECNL B14 Brice,NTX Celtic FC,U13,m,11v11 Silver 14s,Bracket A,RED,3,3,2025-08-31,,yes
510567,FC LEGENDS UTD 18B Red,FC LEGENDS UTD,U8,m,7v7 Bronze,Bracket C,GREEN,36,20,2026-05-16,,yes
510864,FC Dallas Youth 17B Barrera,FC Dallas Youth,U9,m,7v7 Silver,Bracket B,RED,1,1,2025-11-15,1475.73,yes
488204,Texas Warriors FC 15B Salas,Texas Warriors FC,U11,m,9v9 Silver,Bracket B,RED,1,1,2025-05-03,,yes
385944,FC Dallas Youth 14G West,FC Dallas Youth,U12,f,11v11 Bronze,Bracket A,GREEN,10,8,2026-05-31,1462.84,yes
658373,ISW Academy 18 Munoz,ISW Academy,U8,m,7v7 Bronze,Bracket B,RED,0,0,,1636.94,yes
711810,Solar SW 20B Garcia S.,Solar SC,U6,m,Bronze,Bracket A,MISSING,0,0,,,no
612677,Dallas Surf 15G North,Dallas Surf,U11,f,9v9 Silver,Bracket B,RED,0,0,,,yes
514002,Texas LoneStars 14B,Texas LoneStars Soccer Club,U12,m,9v9 Bronze,Bracket C,RED,0,0,,,yes
277190,Texas LoneStars 12B,Texas LoneStars Soccer Club,U14,m,11v11 Bronze,Bracket B,RED,0,0,,,yes
535016,Pumas SC- 2013 Zam,Pumas SC NTX,U13,m,11v11 Gold,Bracket A,YELLOW,19,11,2025-12-20,,yes
129045,Atletico Dallas Youth 13B Reyes Central,Atletico Dallas Youth,U13,m,11v11 Bronze Crossover,Bracket B,YELLOW,6,6,2026-05-03,,yes
152293,Texas Spurs FC 12B,Texas Spurs,U14,m,11v11 Bronze II,Bracket C,RED,0,0,,,yes
661810,Atletico Dallas Youth Central 18G Welge,Atletico Dallas Youth,U8,f,7v7 Silver,Bracket A,RED,0,0,,,yes
148428,13B McMillian,Evolution,U14,m,11v11 Silver,Bracket A,RED,0,0,,,yes
628945,FC Dallas Youth 15G Navy,FC Dallas Youth,U11,f,9v9 Silver,Bracket C,YELLOW,8,5,2026-05-03,,yes
333895,GLASA CHEETAHS 16G,GLASA,U10,f,9v9 Bronze II,Bracket B,RED,0,0,,,yes
272284,Coppell FC 16B Reeck Red,Coppell Youth SA,U10,m,9v9 Gold,Bracket A,RED,0,0,,,yes
390669,Atletico Dallas Youth FDL 09B Reyes,Atletico Dallas Youth,U17,m,DS Silver,Bracket A,RED,0,0,,,yes
262456,Elite Premier FC 2010,Elite Premier FC,U16,m,DS Silver Crossover,Bracket A,RED,0,0,,,yes
614628,Elite Premier FC 2014G,Elite Premier FC,U12,f,9v9 Bronze,Bracket A,GREEN,22,16,2026-05-09,,yes
382244,Bulverde YSA Relentless SC '14,Bulverde YSA,U12,m,9v9 Bronze,Bracket C,RED,0,0,,,yes
389072,Barca Academy Austin STXCL B12,Legends FC - San Antonio,U14,m,11v11 Silver,Bracket A,RED,0,0,,,yes
634544,Barça Academy Austin 14B Red,Legends FC - San Antonio,U12,m,9v9 Silver Crossover,Bracket A,RED,0,0,,,yes
634545,Barça Academy Austin 14B Black,Legends FC - San Antonio,U12,m,9v9 Bronze,Bracket B,RED,0,0,,,yes
406242,Barca Academy Austin 15/16B Blue,Hill Country FC / Barca Academy Austin,U11,m,Silver II,Bracket B,RED,0,0,,,yes
645858,Coppell FC 19B Shabout Red,Coppell FC,U7,m,Silver 4v4,Bracket B,RED,0,0,,1485.47,yes
105799,NTX Celtic FC ECNL RL NTX G09,NTX Celtic FC,U17,f,HS 1,Bracket A,RED,0,0,,,yes
630965,Sting G16 Brady,Sting Soccer Club,U10,f,9v9 Bronze II,Bracket A,RED,0,0,,,yes
631035,Elite Premier FC 2015B,Elite Premier FC,U11,m,9v9 Bronze II,Bracket A,RED,0,0,,,yes
452635,Dallas Texans 2018 Girls Red Dallas,Dallas Texans,U8,f,7v7 Silver,Bracket B,RED,3,3,2025-12-07,1490.24,yes
491040,Solar Pre ECNL G15 Naizer,Solar SC,U11,f,9v9 Silver,Bracket A,RED,0,0,,,yes
484573,Atletico Dallas Youth G17 Meighen,Atletico Dallas Youth,U10,f,9v9 17s,Bracket A,YELLOW,6,5,2025-12-14,1557.64,yes
265071,FC Hurst United 09G,Hurst United SA,U19,f,Gold,Bracket B,MISSING,0,0,,,no
654833,BVB 16B White (Kennedy),BVB International Academy Texas,U10,m,9v9 16s Silver,Bracket B,RED,0,0,,,yes
645859,Coppell FC 19B Robicheaux White,Coppell FC,U7,m,Silver 4v4,Bracket A,RED,3,3,2026-04-12,1492.82,yes
643624,OKC 405 FC 2016 G - Elite,OKC 405 FC,U10,f,9v9 DS Gold,Bracket B,RED,4,3,2025-10-05,,yes
584552,Atletico Dallas Youth Dallas 18B O Rodriguez,Atletico Dallas Youth,U8,m,7v7 Bronze,Bracket C,RED,0,0,,,yes
326480,Dutch Lions 12B Feyenoord,Dutch FC,U14,m,11v11 Bronze II,Bracket A,RED,3,3,2025-05-17,,yes
656212,Sharks FC,Independent Teams - NTX,U9,m,7v7 Bronze II,Bracket B,RED,0,0,,1434.05,yes
151489,FC Dallas El Paso 2011,El Paso Premier League,U15,m,DS Silver,Bracket A,RED,0,0,,,yes
492976,Solar South 11G Cameron,Solar SC,U15,f,Silver Elite Crossover,Bracket A,RED,0,0,,,yes
685328,FC Dallas 2017 Pre MLS Academy,,U10,m,9v9 Gold,Bracket A,RED,0,0,,1548.97,yes
698904,FC Dallas North Academy 2017,FC Dallas,U10,m,9v9 17s,Bracket A,RED,0,0,,1564.78,yes
691655,NTX United FC 2015/16B Guibert,NTX United FC,U11,m,Silver II,Bracket A,RED,0,0,,1489.34,yes
644115,NTX United FC 2019B Guibert,NTX United FC,U7,m,Bronze 4v4,Bracket B,RED,4,4,2026-04-26,1500.44,yes
654209,Solar South 12G Cameron RLNTX,Solar SC,U14,f,11v11 Silver,Bracket A,RED,0,0,,,yes
81616,Coppell FC 13B Shirazi White,Coppell Youth SA,U13,m,11v11 Bronze II,Bracket B,RED,0,0,,,yes
